Date,Average Power,Maximum Power,Minimum Power,Total Energy Consumed
2019/05/09,7033.029836065573,7229.55,6866.99,1287044.4600000002
2019/05/10,8907.537978984237,16202.88,0.0,25431020.930000037
2019/05/11,8494.311218039773,11784.66,6833.81,23919980.389999975
2019/05/12,8334.529213836478,11616.09,5440.37,23853422.609999996
2019/05/13,9768.640627615063,16617.72,6950.04,28016461.319999974
2019/05/14,9252.739436471824,14194.65,4713.3,26435076.569999944
2019/05/15,9380.18400139909,15648.11,6017.52,26817946.060000017
2019/05/16,9178.266476557033,15473.66,5628.43,26231485.58999998
2019/05/17,9135.478947920306,16271.9,5665.49,26136605.27
2019/05/18,8554.121619080779,11365.95,5344.12,24567437.289999936
2019/05/19,8268.69101080516,10677.52,5548.72,23722874.51000005
2019/05/20,9477.107812612612,14053.42,7095.23,26298974.18000002
2019/05/21,9821.796509400496,15421.95,0.0,27687644.35999998
2019/05/22,9326.281103351954,14904.47,0.0,26710469.080000028
2019/05/23,9067.162656685236,15029.97,0.0,26040891.15000007
2019/05/24,9610.07692602931,14887.34,0.0,27542480.470000055
2019/05/25,8780.649676183844,12357.96,0.0,25218025.870000035
2019/05/26,8528.273370434781,10938.93,7158.16,24518785.939999998
2019/05/27,9365.269462442151,13712.28,7034.55,26307041.91999993
2019/05/28,9722.415355153204,15181.79,5559.55,27922776.900000043
2019/05/29,9252.622223771348,15317.64,0.0,26545773.15999996
2019/05/30,9444.290957854406,14644.72,0.0,27114559.34000003
2019/05/31,9727.112691099475,14712.11,5537.17,27868177.860000037
2019/06/01,8892.810034867503,11605.33,5445.35,25504579.179999996
2019/06/02,8821.312808910547,11275.27,7134.76,25343631.699999996
2019/06/03,9963.686121807466,15423.58,5700.43,25357581.180000015
2019/06/04,8887.277956128133,12019.33,5595.65,25524262.290000025
2019/06/05,10751.400456287009,13586.61,7346.31,30867270.710000075
2019/06/06,9467.477837743732,13131.05,6589.63,27190596.34999999
2019/06/07,9168.9515397984,13232.56,5458.77,26379073.580000028
2019/06/08,9633.613355377654,13270.12,5480.41,27677371.16999997
2019/06/09,8968.165527323355,12457.16,5607.92,25765539.559999995
2019/06/10,10813.610369466713,16892.06,0.0,31024248.149999946
2019/06/11,10327.53787804878,17181.33,5542.18,29640033.710000046
2019/06/12,10538.797026462395,17780.63,5658.18,30267425.059999995
2019/06/13,10796.435445993031,17992.79,6010.33,30985769.729999952
2019/06/14,10907.217019498608,17213.91,5998.19,31325527.279999994
2019/06/15,9604.417713787085,13632.74,7312.88,27516656.750000045
2019/06/16,9676.341779867642,13252.43,6989.28,27780777.24999993
2019/06/17,11179.645714782608,17072.05,6895.27,32141481.43000003
2019/06/18,10930.81141509434,16455.98,0.0,31283982.269999903
2019/06/19,10588.609790613718,19295.18,5097.46,29330449.119999956
2019/06/20,10285.173965024984,16782.42,5646.24,28819057.45000003
2019/06/21,10457.544900662251,17351.98,0.0,30002696.320000034
2019/06/22,9041.136362369338,12556.47,5882.64,25948061.360000014
2019/06/23,9431.765216631726,12362.49,5979.54,26993712.049999963
2019/06/24,11329.302960618847,18030.55,0.0,32220537.61999998
2019/06/25,10996.519863779253,18069.6,0.0,31483036.369999915
2019/06/26,10948.696955307261,17085.6,5936.17,31357068.08000004
2019/06/27,10704.180762205831,17116.4,0.0,30474802.630000003
2019/06/28,10511.64165147265,16799.86,0.0,29979201.989999965
2019/06/29,9118.885473610628,13028.88,5236.94,26089131.34000001
2019/06/30,9791.296270477518,13499.61,5799.3,28091229.000000022
2019/07/01,10895.275886238533,16099.72,0.0,29689626.789999988
2019/07/02,11150.619005602242,16500.63,4978.78,31846167.879999965
2019/07/03,10977.57592476489,17377.14,6431.13,31516620.480000027
2019/07/04,10428.585739313246,16294.66,0.0,29763183.700000025
2019/07/05,10810.175170612814,16478.12,5593.47,31046823.089999966
2019/07/06,9302.095910832462,12663.9,5970.58,26706317.360000025
2019/07/07,9517.653346086956,13560.97,5725.71,27363253.370000053
2019/07/08,11579.960174276752,17287.18,7548.63,33222905.739999995
2019/07/09,10955.533344947735,16048.38,0.0,31442380.69999996
2019/07/10,10283.677497389488,16087.67,7343.84,29545005.450000037
2019/07/11,10505.96375782881,16899.63,5816.48,30194139.83999994
2019/07/12,10650.854420062695,16439.72,5583.65,30578603.04000002
2019/07/13,9043.075921281783,13254.87,5789.69,25962670.969999965
2019/07/14,9022.005725217392,12749.5,5671.36,25938266.46000001
2019/07/15,10888.044728222996,16085.89,5622.58,31248688.3700001
2019/07/16,10344.499309864064,18150.36,0.0,29678368.520000067
2019/07/17,10500.546558577405,16992.94,0.0,30115567.52999999
2019/07/18,10602.952512178148,16844.24,7182.16,30472885.520000014
2019/07/19,10153.22307826087,15701.87,6245.24,29190516.34999997
2019/07/20,9058.868022284123,12226.94,6072.48,26017068.959999952
2019/07/21,8709.784425026215,12388.44,0.0,24918693.239999976
2019/07/22,10580.680502267178,17180.44,2916.51,30334810.999999933
2019/07/23,10693.852051102556,17398.75,0.0,30552335.309999913
2019/07/24,10980.404676686474,16407.41,7190.9,31414937.779999964
2019/07/25,10182.915087047353,16281.42,6029.23,29245332.130000025
2019/07/26,9956.846961672472,14904.48,6458.74,28576150.779999956
2019/07/27,8649.63791361895,12505.58,4136.45,24833110.449999984
2019/07/28,8743.72317896936,11638.61,5793.57,25111972.969999954
2019/07/29,9778.125138353766,15172.23,0.0,27916547.27000004
2019/07/30,9158.39962859145,15799.72,0.0,26138072.539999958
2019/07/31,9907.328214910745,15802.31,0.0,28305236.709999934
2019/08/01,9836.623730440968,16246.54,5593.75,27660585.929999966
2019/08/02,9542.383080701755,14438.44,5707.88,27195791.779999968
2019/08/03,8478.443826512766,12838.66,5520.09,24239870.89999994
2019/08/04,8282.949057719054,11520.09,5335.23,23821761.490000103
2019/08/05,10139.974030006979,15654.43,5611.05,29061165.569999993
